dataset,model,F1_macro
founta_hateful,founta_hateful,0.6605554742073027
founta_abusive,founta_hateful,0.45401796547336
founta_toxicity,founta_hateful,0.4800971633437597
davidson_toxicity,founta_hateful,0.21262101986285786
one,founta_hateful,0.4542463590103528
hateval_hate,founta_hateful,0.4444377509233712
hateval_aggression,founta_hateful,0.4967478918388579
ami,founta_hateful,0.3922372116579953
trac_covert,founta_hateful,0.44019387970332624
trac_overt,founta_hateful,0.4725391483824651
trac_aggr,founta_hateful,0.3815840976745767
toxicity_toxic,founta_hateful,0.516073849523748
toxicity_identityhate,founta_hateful,0.5776982555802955
toxicity_severetoxic,founta_hateful,0.5084142736486487
toxicity_insult,founta_hateful,0.5250171649462032
zeerak_hate,founta_hateful,0.5267568262895881
zeerak_racism,founta_hateful,0.5091556596294806
davidson_hate,founta_hateful,0.49053440785542396
zeerak_sexism,founta_hateful,0.4989383728670067
davidson_offensive,founta_hateful,0.2846298699657567
stormfront_post,founta_hateful,0.480262312164416
stormfront_sentence,founta_hateful,0.6341783957442321
toxicity_obscene,founta_hateful,0.5158497496440193
toxicity_threat,founta_hateful,0.5112885089551511
founta_hateful,founta_abusive,0.4784966947141949
founta_abusive,founta_abusive,0.9111656690473174
founta_toxicity,founta_abusive,0.8975520621768469
davidson_toxicity,founta_abusive,0.6685933081192036
one,founta_abusive,0.7688902007083825
hateval_hate,founta_abusive,0.5578498485018516
hateval_aggression,founta_abusive,0.575044908389766
ami,founta_abusive,0.6516318298496516
trac_covert,founta_abusive,0.4810588688521583
trac_overt,founta_abusive,0.4580059050647286
trac_aggr,founta_abusive,0.42873165355395215
toxicity_toxic,founta_abusive,0.7178139114087461
toxicity_identityhate,founta_abusive,0.5062640032538942
toxicity_severetoxic,founta_abusive,0.5351183503035504
toxicity_insult,founta_abusive,0.6698639598736605
zeerak_hate,founta_abusive,0.4497411508000028
zeerak_racism,founta_abusive,0.4163512351385845
davidson_hate,founta_abusive,0.4725569457002578
zeerak_sexism,founta_abusive,0.3951452907479885
davidson_offensive,founta_abusive,0.6903943354745871
stormfront_post,founta_abusive,0.4774719274173224
stormfront_sentence,founta_abusive,0.4274766776638059
toxicity_obscene,founta_abusive,0.7052704464580761
toxicity_threat,founta_abusive,0.4807709570905858
founta_hateful,founta_toxicity,0.5078642834866844
founta_abusive,founta_toxicity,0.9037415311329609
founta_toxicity,founta_toxicity,0.9172083193703
davidson_toxicity,founta_toxicity,0.7354912293882574
one,founta_toxicity,0.7580805439330545
hateval_hate,founta_toxicity,0.5772057453159829
hateval_aggression,founta_toxicity,0.5584648953921192
ami,founta_toxicity,0.4444731106526132
trac_covert,founta_toxicity,0.4973128543422669
trac_overt,founta_toxicity,0.4411449986268082
trac_aggr,founta_toxicity,0.4648561680854016
toxicity_toxic,founta_toxicity,0.7385982526621166
toxicity_identityhate,founta_toxicity,0.5091709187556661
toxicity_severetoxic,founta_toxicity,0.5238154737494221
toxicity_insult,founta_toxicity,0.6699525638456804
zeerak_hate,founta_toxicity,0.5369782138115129
zeerak_racism,founta_toxicity,0.2758018617813991
davidson_hate,founta_toxicity,0.4319135937003147
zeerak_sexism,founta_toxicity,0.3355835303569392
davidson_offensive,founta_toxicity,0.7113007966793867
stormfront_post,founta_toxicity,0.33873819771127345
stormfront_sentence,founta_toxicity,0.2614550251486699
toxicity_obscene,founta_toxicity,0.692512890046358
toxicity_threat,founta_toxicity,0.4763504455064766
founta_hateful,davidson_toxicity,0.4993867657730726
founta_abusive,davidson_toxicity,0.8534152344749486
founta_toxicity,davidson_toxicity,0.8623230221527121
davidson_toxicity,davidson_toxicity,0.9300737795068236
one,davidson_toxicity,0.8026878092667566
hateval_hate,davidson_toxicity,0.6050830111320501
hateval_aggression,davidson_toxicity,0.5653805883166401
ami,davidson_toxicity,0.656957351152958
trac_covert,davidson_toxicity,0.4557892311778958
trac_overt,davidson_toxicity,0.5461110283441313
trac_aggr,davidson_toxicity,0.4097829573242322
toxicity_toxic,davidson_toxicity,0.7706036749811064
toxicity_identityhate,davidson_toxicity,0.5252815423985566
toxicity_severetoxic,davidson_toxicity,0.5415486983528737
toxicity_insult,davidson_toxicity,0.7007081217947422
zeerak_hate,davidson_toxicity,0.5460548180378499
zeerak_racism,davidson_toxicity,0.4774616691737023
davidson_hate,davidson_toxicity,0.2230807166882147
zeerak_sexism,davidson_toxicity,0.5860773819968416
davidson_offensive,davidson_toxicity,0.8598915438043784
stormfront_post,davidson_toxicity,0.6226330817772832
stormfront_sentence,davidson_toxicity,0.5811107513417761
toxicity_obscene,davidson_toxicity,0.7343078167746874
toxicity_threat,davidson_toxicity,0.4842558886086522
founta_hateful,one,0.5026037561107483
founta_abusive,one,0.8278916892007377
founta_toxicity,one,0.8484639468562328
davidson_toxicity,one,0.7271283785655327
one,one,0.7882887482131917
hateval_hate,one,0.5849078209091949
hateval_aggression,one,0.5489117641260773
ami,one,0.6505024027959808
trac_covert,one,0.46887680566264794
trac_overt,one,0.6482283767639739
trac_aggr,one,0.513896153712034
toxicity_toxic,one,0.7502194216706568
toxicity_identityhate,one,0.5024438552008359
toxicity_severetoxic,one,0.5100196877792178
toxicity_insult,one,0.6588122012139112
zeerak_hate,one,0.5912171953384856
zeerak_racism,one,0.5253781755112013
davidson_hate,one,0.2555455565179496
zeerak_sexism,one,0.5612035084233745
davidson_offensive,one,0.7155782217241561
stormfront_post,one,0.6512700658097055
stormfront_sentence,one,0.6157588100478796
toxicity_obscene,one,0.6717177412965056
toxicity_threat,one,0.4723662745735701
founta_hateful,hateval_hate,0.532497213447522
founta_abusive,hateval_hate,0.6383658678248443
founta_toxicity,hateval_hate,0.6377435713585864
davidson_toxicity,hateval_hate,0.6730214941979892
one,hateval_hate,0.5648561507936508
hateval_hate,hateval_hate,0.684302624497515
hateval_aggression,hateval_hate,0.5642325531226404
ami,hateval_hate,0.844408319414663
trac_covert,hateval_hate,0.4767158065029367
trac_overt,hateval_hate,0.5445774057844508
trac_aggr,hateval_hate,0.4308083961765694
toxicity_toxic,hateval_hate,0.6646955201963749
toxicity_identityhate,hateval_hate,0.5273959653625784
toxicity_severetoxic,hateval_hate,0.5509358042559314
toxicity_insult,hateval_hate,0.6401416502327848
zeerak_hate,hateval_hate,0.5635270961134988
zeerak_racism,hateval_hate,0.5055460572731895
davidson_hate,hateval_hate,0.3006166017785952
zeerak_sexism,hateval_hate,0.5738098390683991
davidson_offensive,hateval_hate,0.7020477573417346
stormfront_post,hateval_hate,0.6429649130109049
stormfront_sentence,hateval_hate,0.5864004394187066
toxicity_obscene,hateval_hate,0.6511301884799412
toxicity_threat,hateval_hate,0.4932341287844418
founta_hateful,hateval_aggression,0.5195164296462135
founta_abusive,hateval_aggression,0.4847230193110272
founta_toxicity,hateval_aggression,0.4724819270090858
davidson_toxicity,hateval_aggression,0.2197220650912032
one,hateval_aggression,0.5045846186575896
hateval_hate,hateval_aggression,0.5896926989155482
hateval_aggression,hateval_aggression,0.6570256410256411
ami,hateval_aggression,0.5803250149606359
trac_covert,hateval_aggression,0.4236325527376215
trac_overt,hateval_aggression,0.4823006857640192
trac_aggr,hateval_aggression,0.3384631274530056
toxicity_toxic,hateval_aggression,0.5784741256119902
toxicity_identityhate,hateval_aggression,0.5488840927166765
toxicity_severetoxic,hateval_aggression,0.5972519036455702
toxicity_insult,hateval_aggression,0.5899171004837515
zeerak_hate,hateval_aggression,0.4206942021264848
zeerak_racism,hateval_aggression,0.4801638971348474
davidson_hate,hateval_aggression,0.5086866435612244
zeerak_sexism,hateval_aggression,0.4585745558383159
davidson_offensive,hateval_aggression,0.2584588019232067
stormfront_post,hateval_aggression,0.4914143946734024
stormfront_sentence,hateval_aggression,0.4787437970400216
toxicity_obscene,hateval_aggression,0.597398075264968
toxicity_threat,hateval_aggression,0.5389235442129268
founta_hateful,ami,0.5261420682952112
founta_abusive,ami,0.6176080783627654
founta_toxicity,ami,0.6092773828966925
davidson_toxicity,ami,0.6634395089726413
one,ami,0.5816291834652936
hateval_hate,ami,0.598017470357896
hateval_aggression,ami,0.5708482989738627
ami,ami,0.8088247988765299
trac_covert,ami,0.4412330257132233
trac_overt,ami,0.4853528632720262
trac_aggr,ami,0.3558438276639694
toxicity_toxic,ami,0.6495702596252755
toxicity_identityhate,ami,0.5484361717296452
toxicity_severetoxic,ami,0.5967531331972211
toxicity_insult,ami,0.6557995468052039
zeerak_hate,ami,0.546416974405976
zeerak_racism,ami,0.4546988717973408
davidson_hate,ami,0.3006222399717373
zeerak_sexism,ami,0.6153873562048254
davidson_offensive,ami,0.7055830602524455
stormfront_post,ami,0.5676185258116362
stormfront_sentence,ami,0.5271722418153068
toxicity_obscene,ami,0.6670699075084517
toxicity_threat,ami,0.5157999623163645
founta_hateful,trac_covert,0.4918416100479338
founta_abusive,trac_covert,0.495579065705825
founta_toxicity,trac_covert,0.4942449453796174
davidson_toxicity,trac_covert,0.26433553278148203
one,trac_covert,0.4739333971699117
hateval_hate,trac_covert,0.4592840921379907
hateval_aggression,trac_covert,0.4773202436142169
ami,trac_covert,0.4286979332873784
trac_covert,trac_covert,0.5820472634286801
trac_overt,trac_covert,0.4991744928538061
trac_aggr,trac_covert,0.5631715458821716
toxicity_toxic,trac_covert,0.4598795014620984
