dataset1,dataset2,n_common_1,n_total_1,n_common_0,n_total_0,n_common_all,n_total_all
stormfront_sentence,stormfront_sentence,3535,3535,11870,11870,12917,12917
stormfront_sentence,hateval_aggression,1772,3535,5650,11870,6289,12917
stormfront_sentence,zeerak_racism,1243,3535,5265,11870,5758,12917
stormfront_sentence,zeerak_sexism,1506,3535,5036,11870,5758,12917
stormfront_sentence,davidson_toxicity,2214,3535,3617,11870,5927,12917
stormfront_sentence,founta_abusive,2400,3535,8564,11870,9350,12917
stormfront_sentence,ami,1207,3535,2407,11870,3240,12917
stormfront_sentence,founta_toxicity,2575,3535,8490,11870,9350,12917
stormfront_sentence,davidson_offensive,2143,3535,3998,11870,5927,12917
stormfront_sentence,trac_covert,2009,3535,5390,11870,6278,12917
stormfront_sentence,toxicity_obscene,2487,3535,9887,11870,10729,12917
stormfront_sentence,toxicity_threat,938,3535,9917,11870,10729,12917
stormfront_sentence,davidson_hate,1052,3535,5494,11870,5927,12917
stormfront_sentence,founta_hateful,1957,3535,8661,11870,9350,12917
stormfront_sentence,toxicity_insult,2448,3535,9891,11870,10729,12917
stormfront_sentence,toxicity_identityhate,1661,3535,9909,11870,10729,12917
stormfront_sentence,toxicity_severetoxic,1368,3535,9913,11870,10729,12917
stormfront_sentence,stormfront_post,3023,3535,9342,11870,10749,12917
stormfront_sentence,zeerak_hate,1863,3535,4775,11870,5758,12917
stormfront_sentence,trac_overt,1968,3535,5564,11870,6278,12917
stormfront_sentence,trac_aggr,2277,3535,4654,11870,6278,12917
stormfront_sentence,hateval_hate,2190,3535,5180,11870,6289,12917
stormfront_sentence,toxicity_toxic,2804,3535,9856,11870,10729,12917
stormfront_sentence,offenseval,2195,3535,5798,11870,6822,12917
hateval_aggression,stormfront_sentence,1772,7424,5650,20669,6289,24953
hateval_aggression,hateval_aggression,7424,7424,20669,20669,24953,24953
hateval_aggression,zeerak_racism,1587,7424,6145,20669,6720,24953
hateval_aggression,zeerak_sexism,2034,7424,5837,20669,6720,24953
hateval_aggression,davidson_toxicity,3112,7424,4030,20669,7000,24953
hateval_aggression,founta_abusive,3577,7424,10912,20669,12157,24953
hateval_aggression,ami,2179,7424,4720,20669,6936,24953
hateval_aggression,founta_toxicity,3896,7424,10735,20669,12157,24953
hateval_aggression,davidson_offensive,3013,7424,4515,20669,7000,24953
hateval_aggression,trac_covert,2893,7424,6329,20669,7476,24953
hateval_aggression,toxicity_obscene,3391,7424,11541,20669,12597,24953
hateval_aggression,toxicity_threat,1179,7424,11605,20669,12597,24953
hateval_aggression,davidson_hate,1344,7424,6459,20669,7000,24953
