fasttext_model,dataset,model,F1_macro
pretrained,toxicity_severetoxic,toxicity_severetoxic,0.668825661377414
pretrained,founta_toxicity,toxicity_severetoxic,0.4302751834996422
pretrained,toxicity_threat,toxicity_severetoxic,0.5655161745811196
pretrained,toxicity_insult,toxicity_severetoxic,0.5702594357151811
pretrained,founta_abusive,toxicity_severetoxic,0.4448382118843658
pretrained,davidson_offensive,toxicity_severetoxic,0.19872197474221664
pretrained,founta_hateful,toxicity_severetoxic,0.4950690206026042
pretrained,zeerak_hate,toxicity_severetoxic,0.4067036097697809
pretrained,trac_overt,toxicity_severetoxic,0.4327850255246739
pretrained,toxicity_identityhate,toxicity_severetoxic,0.5837655714900101
pretrained,hateval_aggression,toxicity_severetoxic,0.5087202161631049
pretrained,offenseval,toxicity_severetoxic,0.44496336996337
pretrained,stormfront_post,toxicity_severetoxic,0.4430003713330858
pretrained,zeerak_sexism,toxicity_severetoxic,0.4468752960535581
pretrained,stormfront_sentence,toxicity_severetoxic,0.4730423620025674
pretrained,davidson_hate,toxicity_severetoxic,0.5007996495410683
pretrained,trac_aggr,toxicity_severetoxic,0.29128277817150955
pretrained,ami,toxicity_severetoxic,0.4039208121337803
pretrained,davidson_toxicity,toxicity_severetoxic,0.15836231892073266
pretrained,toxicity_toxic,toxicity_severetoxic,0.5257196424896025
pretrained,trac_covert,toxicity_severetoxic,0.3932038834951456
pretrained,toxicity_obscene,toxicity_severetoxic,0.5684552597516449
pretrained,hateval_hate,toxicity_severetoxic,0.4078120295494662
pretrained,zeerak_racism,toxicity_severetoxic,0.46835045063927894
pretrained,toxicity_severetoxic,founta_toxicity,0.6307454803576353
pretrained,founta_toxicity,founta_toxicity,0.9139046446952186
pretrained,toxicity_threat,founta_toxicity,0.5184333539980726
pretrained,toxicity_insult,founta_toxicity,0.7793776021963124
pretrained,founta_abusive,founta_toxicity,0.9006764412160089
pretrained,davidson_offensive,founta_toxicity,0.6582043503525847
pretrained,founta_hateful,founta_toxicity,0.5142189188860956
pretrained,zeerak_hate,founta_toxicity,0.5105609123787589
pretrained,trac_overt,founta_toxicity,0.5151527864650872
pretrained,toxicity_identityhate,founta_toxicity,0.5832640756882367
pretrained,hateval_aggression,founta_toxicity,0.5955062044128968
pretrained,offenseval,founta_toxicity,0.7466323548100141
pretrained,stormfront_post,founta_toxicity,0.5634620781968522
pretrained,zeerak_sexism,founta_toxicity,0.5285231271193844
pretrained,stormfront_sentence,founta_toxicity,0.5730668149725455
pretrained,davidson_hate,founta_toxicity,0.3633407978404056
pretrained,trac_aggr,founta_toxicity,0.3431484048779273
pretrained,ami,founta_toxicity,0.6829983565225906
pretrained,davidson_toxicity,founta_toxicity,0.6382117828181442
pretrained,toxicity_toxic,founta_toxicity,0.7717061876593799
pretrained,trac_covert,founta_toxicity,0.4057536148199072
pretrained,toxicity_obscene,founta_toxicity,0.8164328750526729
pretrained,hateval_hate,founta_toxicity,0.5587791689740715
pretrained,zeerak_racism,founta_toxicity,0.5322207534699273
pretrained,toxicity_severetoxic,toxicity_threat,0.553055151252022
pretrained,founta_toxicity,toxicity_threat,0.423646354705515
pretrained,toxicity_threat,toxicity_threat,0.655639204199457
pretrained,toxicity_insult,toxicity_threat,0.5083158845261396
pretrained,founta_abusive,toxicity_threat,0.4386014603215371
pretrained,davidson_offensive,toxicity_threat,0.1920872428591337
pretrained,founta_hateful,toxicity_threat,0.4884186710680044
pretrained,zeerak_hate,toxicity_threat,0.4048568747067105
pretrained,trac_overt,toxicity_threat,0.43427136276326295
pretrained,toxicity_identityhate,toxicity_threat,0.5196392799245101
pretrained,hateval_aggression,toxicity_threat,0.44258639910813824
pretrained,offenseval,toxicity_threat,0.4313725490196078
pretrained,stormfront_post,toxicity_threat,0.4430003713330858
pretrained,zeerak_sexism,toxicity_threat,0.44393291680368296
pretrained,stormfront_sentence,toxicity_threat,0.4730423620025674
pretrained,davidson_hate,toxicity_threat,0.4863227058608854
pretrained,trac_aggr,toxicity_threat,0.29191721766502154
pretrained,ami,toxicity_threat,0.3643966547192353
pretrained,davidson_toxicity,toxicity_threat,0.15022887786317554
pretrained,toxicity_toxic,toxicity_threat,0.491366381422272
pretrained,trac_covert,toxicity_threat,0.393081124822982
pretrained,toxicity_obscene,toxicity_threat,0.5086323774127165
pretrained,hateval_hate,toxicity_threat,0.3664303021400411
pretrained,zeerak_racism,toxicity_threat,0.4686288886561224
pretrained,toxicity_severetoxic,toxicity_insult,0.6794496947921038
pretrained,founta_toxicity,toxicity_insult,0.6906488564436242
pretrained,toxicity_threat,toxicity_insult,0.5303795239660931
pretrained,toxicity_insult,toxicity_insult,0.8039514714299998
pretrained,founta_abusive,toxicity_insult,0.7031242570065568
pretrained,davidson_offensive,toxicity_insult,0.486483970069781
pretrained,founta_hateful,toxicity_insult,0.5368606470548097
pretrained,zeerak_hate,toxicity_insult,0.4478272627466176
pretrained,trac_overt,toxicity_insult,0.4732403820498059
pretrained,toxicity_identityhate,toxicity_insult,0.6076212603906725
pretrained,hateval_aggression,toxicity_insult,0.5987398441386171
pretrained,offenseval,toxicity_insult,0.5962593165518212
pretrained,stormfront_post,toxicity_insult,0.4488907067634844
pretrained,zeerak_sexism,toxicity_insult,0.48244074534839293
pretrained,stormfront_sentence,toxicity_insult,0.4871973980855232
pretrained,davidson_hate,toxicity_insult,0.4668665801081871
pretrained,trac_aggr,toxicity_insult,0.3129550978692093
pretrained,ami,toxicity_insult,0.6561657770042081
pretrained,davidson_toxicity,toxicity_insult,0.4656354198038416
pretrained,toxicity_toxic,toxicity_insult,0.7321156728582543
pretrained,trac_covert,toxicity_insult,0.3954700556167549
pretrained,toxicity_obscene,toxicity_insult,0.8002529957628846
pretrained,hateval_hate,toxicity_insult,0.5433576516358224
pretrained,zeerak_racism,toxicity_insult,0.5015169811544835
pretrained,toxicity_severetoxic,founta_abusive,0.6697725692757729
pretrained,founta_toxicity,founta_abusive,0.8823848946612682
pretrained,toxicity_threat,founta_abusive,0.523013044674392
pretrained,toxicity_insult,founta_abusive,0.7664147861183949
pretrained,founta_abusive,founta_abusive,0.9002926862903393
pretrained,davidson_offensive,founta_abusive,0.5770073338127995
pretrained,founta_hateful,founta_abusive,0.4834628722733166
pretrained,zeerak_hate,founta_abusive,0.4383633099173986
pretrained,trac_overt,founta_abusive,0.4626131558081142
pretrained,toxicity_identityhate,founta_abusive,0.5844207230719722
pretrained,hateval_aggression,founta_abusive,0.5857227669804734
pretrained,offenseval,founta_abusive,0.6979004735102297
pretrained,stormfront_post,founta_abusive,0.4523148824302615
pretrained,zeerak_sexism,founta_abusive,0.4909145284566566
pretrained,stormfront_sentence,founta_abusive,0.4849607829661858
pretrained,davidson_hate,founta_abusive,0.4065202053753972
pretrained,trac_aggr,founta_abusive,0.3069642008419337
pretrained,ami,founta_abusive,0.6732023770532876
pretrained,davidson_toxicity,founta_abusive,0.54213616940455
pretrained,toxicity_toxic,founta_abusive,0.7263360599584495
pretrained,trac_covert,founta_abusive,0.39463339400790504
pretrained,toxicity_obscene,founta_abusive,0.8198007054189546
pretrained,hateval_hate,founta_abusive,0.5349661452975086
pretrained,zeerak_racism,founta_abusive,0.466861275293097
pretrained,toxicity_severetoxic,davidson_offensive,0.36866729981185375
pretrained,founta_toxicity,davidson_offensive,0.6401735046039071
pretrained,toxicity_threat,davidson_offensive,0.354177723151736
pretrained,toxicity_insult,davidson_offensive,0.42064275247784655
pretrained,founta_abusive,davidson_offensive,0.6200237746318431
pretrained,davidson_offensive,davidson_offensive,0.8237846234689288
pretrained,founta_hateful,davidson_offensive,0.3778758077556231
pretrained,zeerak_hate,davidson_offensive,0.5213425353948188
pretrained,trac_overt,davidson_offensive,0.483037754526195
pretrained,toxicity_identityhate,davidson_offensive,0.3614839088230344
pretrained,hateval_aggression,davidson_offensive,0.4623082294306489
pretrained,offenseval,davidson_offensive,0.5815773885080815
pretrained,stormfront_post,davidson_offensive,0.43107874071108704
pretrained,zeerak_sexism,davidson_offensive,0.5195645762248662
pretrained,stormfront_sentence,davidson_offensive,0.4205976829371014
pretrained,davidson_hate,davidson_offensive,0.21150902405031968
pretrained,trac_aggr,davidson_offensive,0.5089944801099372
pretrained,ami,davidson_offensive,0.4977757796602149
pretrained,davidson_toxicity,davidson_offensive,0.8335985504887511
pretrained,toxicity_toxic,davidson_offensive,0.4703903783662165
pretrained,trac_covert,davidson_offensive,0.5076388888888889
pretrained,toxicity_obscene,davidson_offensive,0.4306460124310906
pretrained,hateval_hate,davidson_offensive,0.5379704301075269
pretrained,zeerak_racism,davidson_offensive,0.38984857518605204
pretrained,toxicity_severetoxic,founta_hateful,0.541655530796882
pretrained,founta_toxicity,founta_hateful,0.4614354637124966
pretrained,toxicity_threat,founta_hateful,0.5199433903385198
pretrained,toxicity_insult,founta_hateful,0.5149641236493268
pretrained,founta_abusive,founta_hateful,0.449805299966084
pretrained,davidson_offensive,founta_hateful,0.23214880435197216
pretrained,founta_hateful,founta_hateful,0.611973455392082
pretrained,zeerak_hate,founta_hateful,0.43858309143686497
pretrained,trac_overt,founta_hateful,0.4475110931639276
pretrained,toxicity_identityhate,founta_hateful,0.5537949446421732
pretrained,hateval_aggression,founta_hateful,0.4671010296010297
pretrained,offenseval,founta_hateful,0.4303571428571429
pretrained,stormfront_post,founta_hateful,0.4704525954525955
pretrained,zeerak_sexism,founta_hateful,0.4496064322341857
pretrained,stormfront_sentence,founta_hateful,0.49349647833016297
pretrained,davidson_hate,founta_hateful,0.5248128868727087
pretrained,trac_aggr,founta_hateful,0.3019161532142055
pretrained,ami,founta_hateful,0.3761654385935931
pretrained,davidson_toxicity,founta_hateful,0.1956056171040845
pretrained,toxicity_toxic,founta_hateful,0.4962368073769473
pretrained,trac_covert,founta_hateful,0.3984073626495406
pretrained,toxicity_obscene,founta_hateful,0.5080616360779474
pretrained,hateval_hate,founta_hateful,0.3820144599973205
pretrained,zeerak_racism,founta_hateful,0.5360931177042
pretrained,toxicity_severetoxic,zeerak_hate,0.5298235948121761
pretrained,founta_toxicity,zeerak_hate,0.5566635870020212
pretrained,toxicity_threat,zeerak_hate,0.4959983315797649
pretrained,toxicity_insult,zeerak_hate,0.5649183919717862
pretrained,founta_abusive,zeerak_hate,0.5603463390850865
pretrained,davidson_offensive,zeerak_hate,0.5568890326901909
pretrained,founta_hateful,zeerak_hate,0.5406634728021721
pretrained,zeerak_hate,zeerak_hate,0.8025687615714225
pretrained,trac_overt,zeerak_hate,0.5372361853997711
pretrained,toxicity_identityhate,zeerak_hate,0.5218229113300655
pretrained,hateval_aggression,zeerak_hate,0.5393990929705216
pretrained,offenseval,zeerak_hate,0.4732056982125034
pretrained,stormfront_post,zeerak_hate,0.5721187025534852
pretrained,zeerak_sexism,zeerak_hate,0.7055051904791279
pretrained,stormfront_sentence,zeerak_hate,0.5673655397196375
pretrained,davidson_hate,zeerak_hate,0.4014112591955201
pretrained,trac_aggr,zeerak_hate,0.39106581585339256
pretrained,ami,zeerak_hate,0.6596692961230732
pretrained,davidson_toxicity,zeerak_hate,0.5114466790060951
pretrained,toxicity_toxic,zeerak_hate,0.5511780318021632
pretrained,trac_covert,zeerak_hate,0.4440775665409077
pretrained,toxicity_obscene,zeerak_hate,0.5595695465111399
pretrained,hateval_hate,zeerak_hate,0.5153097420471637
pretrained,zeerak_racism,zeerak_hate,0.6549244342155734
pretrained,toxicity_severetoxic,trac_overt,0.5517769746081451
pretrained,founta_toxicity,trac_overt,0.6169957562591184
pretrained,toxicity_threat,trac_overt,0.514839258028055
pretrained,toxicity_insult,trac_overt,0.6328271394787937
pretrained,founta_abusive,trac_overt,0.6112371605430796
pretrained,davidson_offensive,trac_overt,0.2892325665386628
pretrained,founta_hateful,trac_overt,0.5634148847911722
pretrained,zeerak_hate,trac_overt,0.5425819877942378
pretrained,trac_overt,trac_overt,0.6226545674451407
pretrained,toxicity_identityhate,trac_overt,0.5445038911249979
pretrained,hateval_aggression,trac_overt,0.5501757709393178
pretrained,offenseval,trac_overt,0.5310951819254149
pretrained,stormfront_post,trac_overt,0.5144507280232582
pretrained,zeerak_sexism,trac_overt,0.4713243798867594
pretrained,stormfront_sentence,trac_overt,0.5269495599000812
pretrained,davidson_hate,trac_overt,0.5301892724050556
pretrained,trac_aggr,trac_overt,0.4666666666666667
pretrained,ami,trac_overt,0.4990015440041173
pretrained,davidson_toxicity,trac_overt,0.25929572923814576
pretrained,toxicity_toxic,trac_overt,0.6240586489947572
pretrained,trac_covert,trac_overt,0.4578888021510972
pretrained,toxicity_obscene,trac_overt,0.6172299511375746
pretrained,hateval_hate,trac_overt,0.4935027796761326
pretrained,zeerak_racism,trac_overt,0.6513873590073083
pretrained,toxicity_severetoxic,toxicity_identityhate,0.5926719768011031
pretrained,founta_toxicity,toxicity_identityhate,0.4311041631832289
pretrained,toxicity_threat,toxicity_identityhate,0.5385619392885515
pretrained,toxicity_insult,toxicity_identityhate,0.5450544393828757
pretrained,founta_abusive,toxicity_identityhate,0.4417058687091619
pretrained,davidson_offensive,toxicity_identityhate,0.20897638282162173
pretrained,founta_hateful,toxicity_identityhate,0.513030261202002
pretrained,zeerak_hate,toxicity_identityhate,0.4106564010850737
pretrained,trac_overt,toxicity_identityhate,0.4327850255246739
pretrained,toxicity_identityhate,toxicity_identityhate,0.6370317347024231
pretrained,hateval_aggression,toxicity_identityhate,0.4697227113129254
pretrained,offenseval,toxicity_identityhate,0.4303571428571429
pretrained,stormfront_post,toxicity_identityhate,0.44911858974358976
pretrained,zeerak_sexism,toxicity_identityhate,0.44433849639050177
pretrained,stormfront_sentence,toxicity_identityhate,0.4847541770580866
pretrained,davidson_hate,toxicity_identityhate,0.5791207856902455
pretrained,trac_aggr,toxicity_identityhate,0.29128277817150955
pretrained,ami,toxicity_identityhate,0.38549380586695997
pretrained,davidson_toxicity,toxicity_identityhate,0.18142645503914973
pretrained,toxicity_toxic,toxicity_identityhate,0.5139943269349353
pretrained,trac_covert,toxicity_identityhate,0.3932038834951456
pretrained,toxicity_obscene,toxicity_identityhate,0.5337379248754371
pretrained,hateval_hate,toxicity_identityhate,0.3876532866728047
pretrained,zeerak_racism,toxicity_identityhate,0.4819696198701727
pretrained,toxicity_severetoxic,hateval_aggression,0.6080557132036011
pretrained,founta_toxicity,hateval_aggression,0.4529361682539403
pretrained,toxicity_threat,hateval_aggression,0.5537713325224455
pretrained,toxicity_insult,hateval_aggression,0.5606915472937399
pretrained,founta_abusive,hateval_aggression,0.4658933371035498
pretrained,davidson_offensive,hateval_aggression,0.22024219117863614
pretrained,founta_hateful,hateval_aggression,0.5133302145459883
pretrained,zeerak_hate,hateval_aggression,0.4161321604113343
pretrained,trac_overt,hateval_aggression,0.4457173831438451
pretrained,toxicity_identityhate,hateval_aggression,0.5488076224724622
pretrained,hateval_aggression,hateval_aggression,0.6673248626373626
pretrained,offenseval,hateval_aggression,0.4426075268817205
pretrained,stormfront_post,hateval_aggression,0.4932603077805454
pretrained,zeerak_sexism,hateval_aggression,0.4548535901618749
pretrained,stormfront_sentence,hateval_aggression,0.491640866873065
pretrained,davidson_hate,hateval_aggression,0.5065809867856335
pretrained,trac_aggr,hateval_aggression,0.30502613188962724
pretrained,ami,hateval_aggression,0.5809766148995312
pretrained,davidson_toxicity,hateval_aggression,0.18025415505560588
pretrained,toxicity_toxic,hateval_aggression,0.5404101287068388
pretrained,trac_covert,hateval_aggression,0.40442605479280297
pretrained,toxicity_obscene,hateval_aggression,0.5658144250867975
pretrained,hateval_hate,hateval_aggression,0.5617732170190896
pretrained,zeerak_racism,hateval_aggression,0.4777916575088262
pretrained,toxicity_severetoxic,offenseval,0.517633822312934
pretrained,founta_toxicity,offenseval,0.8221394492285239
pretrained,toxicity_threat,offenseval,0.4762732508527237
pretrained,toxicity_insult,offenseval,0.6393606179558533
pretrained,founta_abusive,offenseval,0.8055237715913511
pretrained,davidson_offensive,offenseval,0.6447870490850918
pretrained,founta_hateful,offenseval,0.500278457333169
pretrained,zeerak_hate,offenseval,0.5539753722171228
pretrained,trac_overt,offenseval,0.5933535063969846
pretrained,toxicity_identityhate,offenseval,0.5039873833467621
pretrained,hateval_aggression,offenseval,0.5647769297348335
pretrained,offenseval,offenseval,0.6718106995884774
pretrained,stormfront_post,offenseval,0.5797845792210721
pretrained,zeerak_sexism,offenseval,0.5550050819203084
pretrained,stormfront_sentence,offenseval,0.5895739862917886
pretrained,davidson_hate,offenseval,0.3474089879716782
pretrained,trac_aggr,offenseval,0.4600593934667186
pretrained,ami,offenseval,0.6458035709945072
pretrained,davidson_toxicity,offenseval,0.6315392307135682
pretrained,toxicity_toxic,offenseval,0.6913266834819654
pretrained,trac_covert,offenseval,0.4679735532081637
pretrained,toxicity_obscene,offenseval,0.6542187127035317
pretrained,hateval_hate,offenseval,0.5848665560341267
pretrained,zeerak_racism,offenseval,0.5234072956981043
pretrained,toxicity_severetoxic,stormfront_post,0.5148500525519905
pretrained,founta_toxicity,stormfront_post,0.4429071960554595
pretrained,toxicity_threat,stormfront_post,0.511188073864718
pretrained,toxicity_insult,stormfront_post,0.5135213242684464
pretrained,founta_abusive,stormfront_post,0.4508239295418745
pretrained,davidson_offensive,stormfront_post,0.2149860300201817
pretrained,founta_hateful,stormfront_post,0.5277433275233875
pretrained,zeerak_hate,stormfront_post,0.4449279082279887
pretrained,trac_overt,stormfront_post,0.478986258862271
pretrained,toxicity_identityhate,stormfront_post,0.5331774667746436
pretrained,hateval_aggression,stormfront_post,0.5106301995541298
pretrained,offenseval,stormfront_post,0.4653171738009282
pretrained,stormfront_post,stormfront_post,0.6372826621112491
pretrained,zeerak_sexism,stormfront_post,0.4538859748999877
pretrained,stormfront_sentence,stormfront_post,0.8286120951417004
pretrained,davidson_hate,stormfront_post,0.5202654939584209
