dataset,model,F1_macro
founta_hateful,founta_hateful,0.7047611757676664
founta_abusive,founta_hateful,0.4686180736653981
founta_toxicity,founta_hateful,0.5153662952625956
davidson_toxicity,founta_hateful,0.27743684744635394
one,founta_hateful,0.4972882257833446
hateval_hate,founta_hateful,0.5432370834981446
hateval_aggression,founta_hateful,0.5516045694845366
ami,founta_hateful,0.4164916742006476
trac_covert,founta_hateful,0.4311815416981089
trac_overt,founta_hateful,0.6163666892088411
trac_aggr,founta_hateful,0.4320691613554616
toxicity_toxic,founta_hateful,0.5903696684514982
toxicity_identityhate,founta_hateful,0.6015299051515055
toxicity_severetoxic,founta_hateful,0.5208063842295645
toxicity_insult,founta_hateful,0.5748280974700466
zeerak_hate,founta_hateful,0.6285035838185625
zeerak_racism,founta_hateful,0.7726269923173947
davidson_hate,founta_hateful,0.5898015370423196
zeerak_sexism,founta_hateful,0.4547100208178616
davidson_offensive,founta_hateful,0.2848959567015251
stormfront_post,founta_hateful,0.7093482721928631
stormfront_sentence,founta_hateful,0.6780856695057224
toxicity_obscene,founta_hateful,0.5447861494427133
toxicity_threat,founta_hateful,0.5248390514964028
founta_hateful,founta_abusive,0.4745746211800558
founta_abusive,founta_abusive,0.9180062356870682
founta_toxicity,founta_abusive,0.9019032389577512
davidson_toxicity,founta_abusive,0.6907534794432889
one,founta_abusive,0.8338541666666668
hateval_hate,founta_abusive,0.5913390022786936
hateval_aggression,founta_abusive,0.5891336667117177
ami,founta_abusive,0.6746384872080089
trac_covert,founta_abusive,0.4042584954780684
trac_overt,founta_abusive,0.5420657134539514
trac_aggr,founta_abusive,0.35755778728427995
toxicity_toxic,founta_abusive,0.8507903891836519
toxicity_identityhate,founta_abusive,0.5471126217639124
toxicity_severetoxic,founta_abusive,0.6053633540179613
toxicity_insult,founta_abusive,0.8123096402320538
zeerak_hate,founta_abusive,0.4774586614313736
zeerak_racism,founta_abusive,0.466867809411085
davidson_hate,founta_abusive,0.31632984503743083
zeerak_sexism,founta_abusive,0.5313767366830631
davidson_offensive,founta_abusive,0.7100275637106277
stormfront_post,founta_abusive,0.4831486971446404
stormfront_sentence,founta_abusive,0.5170308882980151
toxicity_obscene,founta_abusive,0.8656315075416978
toxicity_threat,founta_abusive,0.5112294176251403
